timestamp,elapsed_time,stimulus_id,stimulus_type,paper_category,frame_index,face_detected,left_ear,right_ear,avg_ear,eye_open,blink_state,gaze_x,gaze_y,yaw_proxy,pitch_proxy,roll_proxy_deg,head_center_x,head_center_y,head_movement,head_acceleration,mouth_open,eyebrow_signal
1781869072.849988,59.74090576171875,make_me_laugh,social_movie,social,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869072.883832,59.774749755859375,make_me_laugh,social_movie,social,1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869072.9163258,59.80724358558655,make_me_laugh,social_movie,social,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869072.9533079,59.84422564506531,make_me_laugh,social_movie,social,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869072.985944,59.876861810684204,make_me_laugh,social_movie,social,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.0205288,59.9114465713501,make_me_laugh,social_movie,social,1722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.054702,59.94561982154846,make_me_laugh,social_movie,social,1723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.091211,59.982128858566284,make_me_laugh,social_movie,social,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.1234372,60.014354944229126,make_me_laugh,social_movie,social,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.1599412,60.05085897445679,make_me_laugh,social_movie,social,1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.191913,60.08283066749573,make_me_laugh,social_movie,social,1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.227232,60.118149757385254,make_me_laugh,social_movie,social,1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.261502,60.15241980552673,make_me_laugh,social_movie,social,1729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.2955341,60.18645191192627,make_me_laugh,social_movie,social,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.330443,60.22136068344116,make_me_laugh,social_movie,social,1731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.364209,60.25512671470642,make_me_laugh,social_movie,social,1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.3990688,60.2899866104126,make_me_laugh,social_movie,social,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.4326599,60.323577642440796,make_me_laugh,social_movie,social,1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.467972,60.35888981819153,make_me_laugh,social_movie,social,1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.5031838,60.39410161972046,make_me_laugh,social_movie,social,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.536713,60.42763066291809,make_me_laugh,social_movie,social,1737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.571709,60.462626695632935,make_me_laugh,social_movie,social,1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.6064582,60.49737596511841,make_me_laugh,social_movie,social,1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.640647,60.531564712524414,make_me_laugh,social_movie,social,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.6751192,60.56603693962097,make_me_laugh,social_movie,social,1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.7102919,60.60120964050293,make_me_laugh,social_movie,social,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.743089,60.63400673866272,make_me_laugh,social_movie,social,1743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781869073.778242,60.66915988922119,make_me_laugh,social_movie,social,1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
