timestamp,elapsed_time,stimulus_id,stimulus_type,paper_category,frame_index,face_detected,left_ear,right_ear,avg_ear,eye_open,blink_state,gaze_x,gaze_y,yaw_proxy,pitch_proxy,roll_proxy_deg,head_center_x,head_center_y,head_movement,head_acceleration,mouth_open,eyebrow_signal
1781595019.6973708,0.600477933883667,floating_bubbles,nonsocial_movie,non_social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781595019.717463,0.620570182800293,floating_bubbles,nonsocial_movie,non_social,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781595019.749915,0.653022050857544,floating_bubbles,nonsocial_movie,non_social,2,1,0.3586934404567141,0.3635089276946059,0.36110118407566,1,0,0.6126096069812774,0.6153410017490387,0.034822019591204414,0.2008602781765838,-0.8721505802351458,0.6108503043651581,0.6662214994430542,0.0,0.0,0.08198153832569749,0.13546467502064288
1781595019.786421,0.689528226852417,floating_bubbles,nonsocial_movie,non_social,3,1,0.3190653444574187,0.35377872653410336,0.336422035495761,1,0,0.6124949932098389,0.609796553850174,0.028504947879066964,0.2099268078948662,-1.4840967696748077,0.6105611622333527,0.6657419204711914,0.0005599992523548192,0.0005599992523548192,0.09008511494671693,0.1390995456302035
1781595019.8194718,0.7225790023803711,floating_bubbles,nonsocial_movie,non_social,4,1,0.39588768297510807,0.38377964827261435,0.38983366562386124,1,0,0.6099470555782318,0.6048163175582886,0.013641854909428451,0.20913689799981852,-0.9182791714690762,0.6101562976837158,0.6627395153045654,0.003029579523322502,0.002469580270967683,0.0759870009115543,0.13520995995679141
1781595019.8544571,0.7575643062591553,floating_bubbles,nonsocial_movie,non_social,5,1,0.4181179559914051,0.3681425879920871,0.3931302719917461,1,0,0.6078882575035095,0.601128774881363,0.010532542621545241,0.19618910542668333,-1.4827683988565934,0.608330100774765,0.6620787978172302,0.0019420460211673728,0.0010875335021551294,0.09454492115220146,0.13590458529399513
1781595019.8859122,0.7890193462371826,floating_bubbles,nonsocial_movie,non_social,6,1,0.4289040520416055,0.3901885340219178,0.4095462930317616,1,0,0.6068619430065154,0.5999166786670684,0.005527226927034703,0.19362075627214537,-1.9068511607308443,0.6079750061035156,0.6623383462429047,0.0004398381643511527,0.0015022078568162202,0.10275728751095892,0.1370549348979919
1781595019.9220018,0.8251090049743652,floating_bubbles,nonsocial_movie,non_social,7,1,0.3927070957475898,0.3579466567264702,0.37532687623703,1,0,0.6061984360218049,0.5986426830291748,-0.006224218287971522,0.19790198545725868,-2.0714596481027248,0.6081247627735138,0.6598937809467316,0.002449148126892858,0.0020093099625417055,0.10310919452076958,0.13623248532296803
1781595019.956448,0.8595552444458008,floating_bubbles,nonsocial_movie,non_social,8,1,0.40031390894085744,0.3945163854441841,0.3974151471925208,1,0,0.6060274362564086,0.5977071166038512,-0.0004983553194249754,0.19504309828950783,-2.287175993696546,0.6072712242603302,0.6609636545181274,0.0013686334250846799,0.0010805147018081783,0.10615188759161662,0.1319814759134907
1781595019.9910588,0.8941659927368164,floating_bubbles,nonsocial_movie,non_social,9,1,0.3944820106884799,0.372491071446039,0.38348654106725943,1,0,0.6047029435634612,0.598007732629776,0.007672975144737239,0.19302014873755013,-2.2328077324299547,0.6062163710594177,0.659637987613678,0.0016941393145275619,0.000325505889442882,0.12336806341645448,0.13552987446468814
1781595020.026098,0.9292051792144775,floating_bubbles,nonsocial_movie,non_social,10,1,0.36859418289325635,0.37598464394837317,0.3722894134208148,1,0,0.6042145371437073,0.599738085269928,0.00609416043284356,0.19229322265271068,-1.610210737465108,0.6054273247718811,0.6603080630302429,0.0010351787805785067,0.0006589605339490552,0.12596268580194767,0.12949420830542083
1781595020.0591629,0.9622700214385986,floating_bubbles,nonsocial_movie,non_social,11,1,0.4161217479620551,0.3960145417834573,0.4060681448727562,1,0,0.6041153073310852,0.6049102127552033,0.0012295939947745706,0.20071082865553033,-1.3304153239314196,0.6052606403827667,0.6642025113105774,0.003898013736991516,0.0028628349564130094,0.1269418289951706,0.12862998386637914
1781595020.094538,0.9976451396942139,floating_bubbles,nonsocial_movie,non_social,12,1,0.40917889380546635,0.38063775941045047,0.3949083266079584,1,0,0.6031572699546814,0.6116742074489594,0.008050329453286768,0.19614823264410944,-1.7932707758409994,0.6049979329109192,0.6695101857185364,0.0053141718862554,0.001416158149263884,0.14446025749432415,0.13137927424056245
1781595020.129644,1.0327510833740234,floating_bubbles,nonsocial_movie,non_social,13,1,0.39817090371488073,0.39893446362505786,0.3985526836699693,1,0,0.6036060571670532,0.6164258301258088,0.0035647873888392757,0.2016516204671665,-1.9573881420230224,0.6051133871078491,0.6747450828552246,0.005236170136969901,7.800174928549938e-05,0.1222073231585158,0.12601352576379798
1781595020.163661,1.0667681694030762,floating_bubbles,nonsocial_movie,non_social,14,1,0.39822055921635335,0.38104881798532914,0.3896346886008413,1,0,0.6032449781894684,0.6216761469841003,0.010164790891079849,0.20522385910876184,-2.6380569697992757,0.6048402488231659,0.6787219643592834,0.00398625024551708,0.0012499198914528208,0.10978000054997092,0.12733541505389132
1781595020.198378,1.101485252380371,floating_bubbles,nonsocial_movie,non_social,15,1,0.38799901255069313,0.39305474633733684,0.390526879444015,1,0,0.6038588523864746,0.6250241160392761,0.0016166063581479957,0.21078366120820932,-3.432282721292696,0.6062589883804321,0.6826038062572479,0.004132979367495615,0.00014672912197853487,0.09666859865795545,0.13072400740286524
1781595020.231956,1.1350631713867188,floating_bubbles,nonsocial_movie,non_social,16,1,0.4011651818477215,0.450765350952788,0.4259652664002548,1,0,0.6061510860919952,0.6288940072059631,0.0035956026868555566,0.21401191044107667,-1.6666904988764009,0.6073134541511536,0.6852693259716034,0.002866512412190258,0.001266466955305357,0.06440048078118972,0.128038293387606
1781595020.2671201,1.170227289199829,floating_bubbles,nonsocial_movie,non_social,17,1,0.3762933091287148,0.4241994866497767,0.40024639788924576,1,0,0.6061475634574891,0.6308458507061006,0.005469129831718435,0.21744461309778995,-2.1057956523100323,0.6079997718334198,0.6873668134212494,0.0022069176609954802,0.0006595947511947777,0.015806502939871334,0.1271671818536426
1781595020.3003252,1.203432321548462,floating_bubbles,nonsocial_movie,non_social,18,1,0.40055313506802515,0.41579083608864703,0.4081719855783361,1,0,0.6070547997951508,0.6317615687847138,0.0017863492916642505,0.2227944869162459,-2.3936338484535677,0.6091555058956146,0.6883671581745148,0.0015285322528173638,0.0006783854081781164,0.011016999041843684,0.12351747864961733
1781595020.334391,1.2374982833862305,floating_bubbles,nonsocial_movie,non_social,19,1,0.40640809525904165,0.40761300370492104,0.40701054948198134,1,0,0.6074473798274994,0.6324132025241851,-0.0067357253455984515,0.223714518938129,-3.6827396606307565,0.609964519739151,0.6888095140457153,0.0009220532066096344,0.0006064790462077294,0.021394466654338792,0.12547798051028342
1781595020.370325,1.2734322547912598,floating_bubbles,nonsocial_movie,non_social,20,1,0.42433685755900347,0.40645290045178023,0.41539487900539185,1,0,0.6076240539550781,0.6325799703598023,-0.002718663173474555,0.22627788054104586,-4.318175910854526,0.6100858151912689,0.6862089931964874,0.0026033480892830134,0.0016812948826733791,0.04493506067938415,0.12860381262119044
1781595020.403048,1.3061552047729492,floating_bubbles,nonsocial_movie,non_social,21,1,0.4024851105896351,0.35814641321880425,0.3803157619042197,1,0,0.6074071288108827,0.6309672713279724,-0.005367783467736854,0.22903067989342077,-4.845142669655778,0.6103108525276184,0.6840177774429321,0.0022027410836002004,0.00040060700568281303,0.05597895714230116,0.1306998593227798
1781595020.439751,1.342858076095581,floating_bubbles,nonsocial_movie,non_social,22,1,0.35284394182672724,0.38090630037770945,0.3668751211022183,1,0,0.6065801560878754,0.6292379319667816,0.00030845499479691926,0.22406322039713317,-5.2481144013728604,0.6099330484867096,0.680680900812149,0.003358196173899505,0.0011554550902993046,0.05835160805329309,0.13563731564846399
